Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
585,Duar War (British-Bhutan War),-,-,1864,Bhutan,Military Conflict,Bhutan,Conflict with British India leading to ceding of Bhutanese territories in the Treaty of Sinchula.,Bhutanese people,British India,Negative,
586,Sultanate Abolished and Restored,-,-,1953,Maldives,Political Change,Maldives,"Brief abolition of the sultanate, showing political instability and change.",Maldivian people,-,Mixed,
587,Federated Malay States Formed,-,-,1895,Malaya,Colonial Administration,Peninsular,British establishment of federated administrative structure to streamline colonial governance.,Malay states people,British Colonial Administration,Negative,
588,Anglo-Iranian Oil Company Nationalized,-,-,1951,Iran,Nationalization,Iran,"Nationalization of Iran's oil industry, leading to a significant political and economic standoff.",Iranian people,Mohammad Mossadegh,Mixed,
589,Kingdom of Iraq Independence,-,-,1932,Iraq,Independence,Iraq,"Iraq's independence from British mandate, marking the establishment of a sovereign state.",Iraqi people,-,Positive,
590,Famine of 1932-1933,-,-,1932,Kazakhstan,Famine,Kazakhstan,"Devastating famine caused by Soviet collectivization policies, greatly affecting the Kazakh populace.",Kazakh people,Soviet Government,Negative,"The Soviet famine of 1930–1933 was a famine in the major grain-producing areas of the Soviet Union, including Ukraine and different parts of Russia, including Kazakhstan, Northern Caucasus, Kuban Region, Volga Region, the South Urals, and West Siberia. Major factors included the forced collectivization of agriculture as a part of the First Five-Year Plan and forced grain procurement from farmers. These factors in conjunction with a massive investment in heavy industry decreased the agricultural workforce."
591,Bukharan People's Soviet Republic Formed,-,-,1920,Bukhara,State Formation,Bukhara,"Establishment of a Soviet republic, incorporating Bukhara into the Soviet Union.",Bukharan people,Soviet Government,Negative,
592,Establishment of Monarchy,-,-,1907,Bhutan,Monarchy Establishment,Bhutan,"Establishment of the Wangchuck dynasty, bringing stability and central governance.",Bhutanese people,Ugyen Wangchuck,Positive,
593,Introduction of First Constitution,-,-,1932,Maldives,Constitutional Development,Maldives,"Adoption of the first constitution, initiating legal and governmental reforms.",Maldivian people,Sultan Muhammad Shamsuddeen III,Positive,
594,Constitutional Revolution,-,-,1905,Iran,Political Reform,Iran,"Establishment of a constitution and a parliament, aiming for modernization and reduction of monarchic power.",Iranian citizens,Constitutional Revolutionaries,Positive,"Constitutional Revolution may refer to:Constitutional Revolution (Israel), legislation passed by the Israeli Knesset from 1992 to 1995 on human rights and the basis of the Supreme Court's powers of judicial review
Persian Constitutional Revolution, the revolution in Persia (Iran) between 1905 and 1911 that led to the establishment of a parliament during the Qajar dynasty
Constitutionalist Revolution of 1932, the uprising of the population of the Brazilian state of São Paulo against the Brazilian Revolution of 1930

."
595,British Occupation of Basra,-,-,1914,Basra,Military Occupation,Basra,"Start of British involvement in Iraq during WWI, leading to eventual British mandate.",Iraqi people,British Forces,Negative,
596,Forced Sedentarization of Nomads,-,-,1930,Kazakhstan,Social Policy,Kazakhstan,"Soviet policies aimed to settle nomadic populations, significantly altering traditional lifestyles.",Kazakh nomads,Soviet Government,Negative,
597,Russian Conquest of Tashkent,-,-,1865,Tashkent,Military Conquest,Tashkent,"Incorporation into the Russian Empire, impacting local governance and development.",Tashkent residents,Russian Empire,Negative,
598,Treaty of Punakha with British India,-,-,1910,Punakha,Diplomatic Agreement,Punakha,"Affirmed British protection in exchange for internal autonomy, securing Bhutan's sovereignty.",Bhutanese people,British India,Positive,
599,Formal British Protectorate Status,-,-,1887,Maldives,Protectorate Establishment,Maldives,"Established a formal protectorate under British Empire, influencing foreign policy and defense.",Maldivian people,British Empire,Mixed,
600,Japanese Occupation,-,-,1942,Malaya,Military Occupation,Southeast Asia,"Japanese control disrupted British colonial rule, contributing to the rise of independence movements.",Malay people,Japanese Empire,Negative,"Japanese occupation may refer to:Japanese occupation of the Aleutian Islands
Japanese occupation of Attu
Japanese occupation of Kiska
Japanese occupation of the Andaman and Nicobar Islands
Japanese occupation of British Borneo 
Japanese occupation of Burma
Japanese occupation of Cambodia
Japanese occupation of the Dutch East Indies 
Japanese occupation of West Sumatra
Japanese occupation of the Gilbert Islands
Japanese occupation of German colonial Empire possessions
Japanese occupation of Mariana Islands, Marshall Islands, Palau Islands, Caroline Islands.
South Seas Mandate
Australian-Japanese occupation of German New Guinea
Japanese occupation of Guam
Japanese occupation of Gyeongbokgung
Japanese occupation of Hong Kong
Japanese occupation of Istanbul
Japanese occupation of Ryukyu (1609)
Japanese occupation of Ryukyu (1879)
Japanese occupation of Jinan 
Japanese occupation of Korea (1592-1598)
Japanese occupation of Korea (1875)
Japanese occupation of Korea (1905)
Japanese occupation of Korea (1910)
Korea under Japanese rule (1910-1945)
Japanese occupation of Laos
Japanese occupation of Malaya 
Japanese occupation of Nauru
Japanese occupation of the Philippines
Japanese occupation of Singapore
Japanese occupation of Taiwan (1874)
Japanese occupation of Taiwan (1895)
Taiwan under Japanese rule (1895-1945)
Japanese occupation of Thailand
Japanese occupation of Tsingtao
Japanese occupation of Vietnam
Japanese occupation of various parts of Ming dynasty and Josen during the Japanese invasions of Korea (1592–1598)
Japanese occupation of various parts of Josen during the Donghak Peasant Revolution.
Japanese occupation of various parts of Qing dynasty and Josen during the First Sino-Japanese War.
Japanese occupation of various parts of Qing dynasty during the Boxer Rebellion.
Japanese occupation of Qing
Japanese occupation of various parts of Qing dynasty, Korean Empire and Russian Empire during the Russo-Japanese War.
Japanese occupation of various parts of Russian Empire and Soviet Union during the Siberian intervention. Japanese occupied all ports and major towns in the Russian Maritime Provinces and in Siberia east of the city of Chita.
Japanese intervention in Siberia
Japanese occupation of North Sakhalin
Japanese occupation of Vladivostok
Japanese occupation of various parts of Republic of China during the Second Sino-Japanese War.
Japanese occupation of Beijing
Japanese occupation of Shanghai
Japanese occupation of Manchuria; see Manchukuo, a Japanese puppet state in northeastern China.
Alled Occupation of Iraq
Japanese Iraq Reconstruction and Support Group.
U.S. occupation of Japan, the occupation of Japan by United States of America following World War II."
601,Mossadegh's Premiership and Oil Nationalization,-,-,1951,Iran,Economic Policy,Iran,Marked a pivotal point in Iranian nationalism and conflict with Western powers over oil resources.,Iranian people,Mohammad Mossadegh,Mixed,
602,14 July Revolution,-,-,1958,Iraq,Political Revolution,Baghdad,"Overthrow of the Hashemite monarchy, leading to the establishment of a republic.",Iraqi people,Iraqi Army and Revolutionaries,Mixed,"The 14 July Revolution, also known as the 1958 Iraqi military coup, was a coup d'état that took place on 14 July 1958 in Iraq, resulting in the toppling of King Faisal II and the overthrow of the Hashemite-led Kingdom of Iraq. The Iraqi Republic established in its wake ended the Hashemite Arab Federation between Iraq and Jordan that had been established just six months earlier."
603,Accession to the Soviet Union,-,-,1922,Soviet Union,Political Union,Kazakhstan,"Integration into the Soviet Union, significantly impacting political and social structures.",Kazakh SSR inhabitants,Soviet Government,Negative,
604,Establishment of the Uzbek Soviet Socialist Republic,-,-,1924,Uzbek SSR,State Formation,Uzbekistan,"Formation as a constituent republic of the Soviet Union, altering national identity and governance.",Uzbek SSR inhabitants,Soviet Government,Negative,
605,First Five-Year Plan,-,-,1961,Bhutan,Economic Development,Bhutan,"Initiation of planned economic development, focusing on modernization and infrastructure.",Bhutanese people,"Third King of Bhutan, Jigme Dorji Wangchuck",Positive,"The first five-year plan of the Union of Soviet Socialist Republics (USSR) was a list of economic goals, implemented by Communist Party General Secretary Joseph Stalin, based on his policy of socialism in one country. Leon Trotsky had delivered a joint report to the April Plenum of the Central Committee in 1926 which proposed a program for national industrialisation and the replacement of annual plans with five-year plans. His proposals were rejected by the Central Committee majority which was controlled by the troika and derided by Stalin at the time."
606,Suvadive Rebellion,-,-,1959,Addu Atoll,Secession Attempt,Addu Atoll,Attempted secession highlighting regional discontent and desire for greater autonomy within Maldives.,Southern Maldivians,Abdullah Afeef,Negative,
607,Formation of Federation of Malaya,-,-,1948,Malaya,Political Reorganization,Malaya,"British response to increasing nationalist movements, setting the stage for eventual independence.",Malay people,British Colonial Administration,Mixed,
608,1953 Iranian Coup d'état,-,August,1953,Tehran,Political Coup,Iran,"Overthrow of Prime Minister Mohammad Mossadegh, consolidation of Shah's power.",Iranian citizens,"CIA, MI6",Negative,
609,1979 Iranian Revolution,-,February,1979,Iran,Revolution,Iran,"Establishment of the Islamic Republic of Iran, fall of the Pahlavi dynasty.",Iranian citizens,Ayatollah Khomeini,Mixed,"The Iranian Revolution, also known as the 1979 Revolution, or the Islamic Revolution of 1979 was a series of events that culminated in the overthrow of the Imperial State of Iran, the Pahlavi dynasty and its head Mohammad Reza Pahlavi in 1979. Pahlavi was replaced by religious cleric Ayatollah Ruhollah Khomeini who founded the theocratic Islamic Republic of Iran, marking the end of Iran's historical monarchy."
610,1958 Iraqi Revolution,-,July,1958,Iraq,Revolution,Baghdad,"Overthrow of the Hashemite monarchy, establishment of a republic.",Iraqi citizens,Abdul Karim Qasim,Mixed,
611,Iran-Iraq War,-,September,1980,Iraq,Military Conflict,Iraq/Iran border,"Attempted to dominate the Persian Gulf region, resulted in stalemate and devastation.","Iraqi, Iranian citizens",Saddam Hussein,Negative,"The Iran–Iraq War, also known as the First Gulf War, was an armed conflict between Iran and Iraq that lasted from September 1980 to August 1988. Active hostilities began with the Iraqi invasion of Iran and lasted for nearly eight years, until the acceptance of United Nations Security Council Resolution 598 by both sides. Iraq's primary rationale for the attack against Iran cited the need to prevent Ruhollah Khomeini—who had spearheaded the Iranian revolution in 1979—from exporting the new Iranian ideology to Iraq."
612,Gulf War,-,January,1991,"Kuwait, Iraq",Military Conflict,Kazakhstan,Iraq's invasion of Kuwait leads to conflict and subsequent economic sanctions.,Iraqi citizens,"Saddam Hussein, Coalition Forces",Negative,"The Gulf War was an armed conflict between Iraq and a 42-country coalition led by the United States. The coalition's efforts against Iraq were carried out in two key phases: Operation Desert Shield, which marked the military buildup from August 1990 to January 1991; and Operation Desert Storm, which began with the aerial bombing campaign against Iraq on 17 January 1991 and came to a close with the American-led liberation of Kuwait on 28 February 1991."
613,Independence from the Soviet Union,16,December,1991,Kazakhstan,Independence,From Almaty to Astana,Kazakhstan declares sovereignty as the Soviet Union collapses.,Kazakh citizens,Nursultan Nazarbayev,Positive,
614,Capital Moved to Astana,-,-,1997,Uzbekistan,Administrative Change,Astana,Moving the capital was aimed at political and economic development.,Kazakh citizens,Nursultan Nazarbayev,Mixed,
615,Independence from the Soviet Union,1,September,1991,Uzbekistan,Independence,Uzbekistan,Uzbekistan declares independence following the dissolution of the Soviet Union.,Uzbek citizens,-,Positive,
616,Death of Islam Karimov,-,September,2016,Uzbekistan,Political Change,Bhutan,Transition of power after the death of long-time leader Islam Karimov.,Uzbek citizens,-,Mixed,
617,Introduction of Television,-,June,1999,Bhutan,Cultural Change,Bhutan,"Marking the end of Bhutan's isolation, introduction of television and the internet.",Bhutanese citizens,Jigme Singye Wangchuck,Positive,
618,First Democratic Elections,-,March,2008,Bhutan,Political Development,Bhutan,Transition to a constitutional monarchy with the first democratic elections.,Bhutanese citizens,Jigme Khesar Namgyel Wangchuck,Positive,
619,Introduction of a Multiparty System,-,June,2005,Maldives,Political Reform,Maldives,Reformation towards a more democratic political system.,Maldivian citizens,Maumoon Abdul Gayoom,Positive,
620,2004 Tsunami Impact,26,December,2004,Maldives,Natural Disaster,Indian Ocean,Devastation and subsequent reconstruction efforts highlighting vulnerability to climate change.,Maldivian citizens,-,Negative,
621,Independence from the United Kingdom,31,August,1957,Malaysia,Independence,Malaya,"End of British colonial rule, establishment of the Federation of Malaya.",Malaysian citizens,Tunku Abdul Rahman,Positive,"
Independence from the United Kingdom may refer to any one of the many campaigns, events, documents and legislation regarding countries that have gained independence from the United Kingdom or countries which aspire to do so."
622,Formation of Malaysia,16,September,1963,Malaysia,State Formation,Malaysia,"Merger of Malaya, Sabah, Sarawak, and Singapore into Malaysia; Singapore later exits in 1965.","Malaysian, Singaporean citizens",Tunku Abdul Rahman,Positive,"The Malaysia Agreement, or the Agreement relating to Malaysia between United Kingdom of Great Britain and Northern Ireland, Federation of Malaya, North Borneo, Sarawak and Singapore (MA63) was a legal document which agreed to combine North Borneo (Sabah), Sarawak, and Singapore with the existing states of Malaya, the resulting union being named Malaysia. Signed in London, United Kingdom, the agreement has been in effect since 16 September 1963; Singapore was subsequently expelled from Malaysia not long after this agreement, becoming a sovereign state on 9 August 1965."
623,1969 Race Riots,13,May,1969,Malaysia,Civil Unrest,Kuala Lumpur,Ethnic tensions leading to significant violence and the establishment of the New Economic Policy.,Malaysian citizens,-,Negative,
624,New Economic Policy Introduced,-,-,1971,Malaysia,Economic Policy,Malaysia,Aimed at eradicating poverty and restructuring societal economic imbalance.,Malaysian citizens,Abdul Razak Hussein,Mixed,
625,Green Movement,-,June,2009,Iran,Political Movement,Iran,"Protests over the disputed presidential election results, calling for political reform.",Iranian citizens,Opposition supporters,Negative,"Green Movement may refer to:Green politics, a political ideology
Green Movement in Bulgaria
Green Movement in India
Ukrainian Green movement
Green Movement of Sri Lanka
The Green Party (Israel), a social-environmental political party formerly known as the Green Movement
Iranian Green Movement, a political movement after the 2009 Iranian presidential election."
626,ISIS Captures Mosul,10,June,2014,Mosul,Military Occupation,Mosul,"ISIS's rapid territorial gains in Iraq, leading to international military interventions.",Iraqi citizens,ISIS,Negative,
627,Zhanaozen Massacre,16,December,2011,Zhanaozen,Civil Unrest,Zhanaozen,"Violent crackdown on striking oil workers, leading to numerous deaths and injuries.",Kazakh workers,Kazakhstan Government,Negative,
628,Currency Convertibility Introduced,-,September,2017,Uzbekistan,Economic Policy,Uzbekistan,Introduction of currency convertibility to boost investment and economic liberalization.,Uzbek citizens,Shavkat Mirziyoyev,Positive,
629,Gross National Happiness Introduced,-,-,1972,Bhutan,Social Policy,Bhutan,Concept of measuring and promoting happiness as a goal of governance.,Bhutanese citizens,King Jigme Singye Wangchuck,Positive,
630,Political Crisis and State of Emergency,-,February,2018,Maldives,Political Crisis,Malé,Political tensions leading to a state of emergency and concerns over democracy.,Maldivian citizens,Abdulla Yameen,Negative,
631,1MDB Scandal,-,-,2015,Malaysia,Corruption Scandal,Malaysia,A major corruption scandal involving the state fund 1MDB and leading political figures.,Malaysian citizens,Najib Razak,Negative,
632,US Withdrawal from the JCPOA,8,May,2018,Iran,Diplomatic Event,Iran,"US withdrawal from the nuclear deal, leading to heightened tensions and economic sanctions.",Iranian citizens,Donald Trump,Negative,
633,Protests Against Corruption and Unemployment,-,October,2019,Iraq,Civil Unrest,Baghdad,Nationwide protests demanding political reform and action against corruption.,Iraqi citizens,Protesters,Negative,
634,Presidential Transition,19,March,2019,Kazakhstan,Political Change,Nur-Sultan,"Nursultan Nazarbayev resigns after decades in power, Kassym-Jomart Tokayev becomes president.",Kazakh citizens,"Nursultan Nazarbayev, Kassym-Jomart Tokayev",Mixed,"Presidential transition may refer to:Argentina presidential transition
Philippines presidential transition
Presidential transition of Benigno Aquino III
Presidential transition of Rodrigo Duterte
Presidential transition of Bongbong Marcos
Spanish presidential transition
United States presidential transition
Second presidential transition of Donald Trump
Presidential transition of Joe Biden
First presidential transition of Donald Trump
Presidential transition of Barack Obama
Planned presidential transition of Mitt Romney

."
635,Release of Political Prisoners,-,-,2016,Uzbekistan,Human Rights Improvement,Uzbekistan,"Following Karimov's death, numerous political prisoners were released as part of reforms.",Uzbek political prisoners,Shavkat Mirziyoyev,Positive,
636,Decriminalization of Homosexuality,17,December,2020,Bhutan,Legal Reform,Bhutan,Amendment of the penal code to decriminalize same-sex relationships.,Bhutanese citizens,Bhutanese Parliament,Positive,
637,Presidential Election Victory of Ibrahim Solih,23,September,2018,Maldives,Electoral Victory,Maldives,Marked a significant shift in the political landscape towards democratic reform.,Maldivian citizens,Ibrahim Mohamed Solih,Positive,
638,Pakatan Harapan Electoral Victory,9,May,2018,Malaysia,General Election,Malaysia,"The opposition coalition's victory, ending six decades of UMNO-led government rule.",Malaysian citizens,Mahathir Mohamad,Positive,
639,Malaysia Airlines Flight MH370 Disappearance,8,March,2014,Malaysia,Aviation,Southern Indian Ocean,"Disappeared en route from Kuala Lumpur to Beijing with 239 people on board, remains missing.",239 passengers & crew,Boeing 777-200ER,Negative,
640,Japan Airlines Flight 123,12,August,1985,Japan,Aviation,Mount Takamagahara,The world's deadliest single-aircraft accident with 520 fatalities.,520 passengers & crew,Boeing 747SR,Negative,"Japan Air Lines Flight 123 was a scheduled domestic passenger flight from Tokyo to Osaka, Japan. On August 12, 1985, the Boeing 747 flying the route suffered a severe structural failure and explosive decompression 12 minutes after takeoff. After flying under minimum control for 32 minutes, the plane crashed in the area of Mount Takamagahara, 100 kilometres from Tokyo."
641,China Airlines Flight 611,25,May,2002,Taiwan,Aviation,Taiwan Strait,"Disintegration in mid-flight due to structural failure, killing all 225 aboard.",225 passengers & crew,Boeing 747-209B,Negative,China Airlines Flight 611 was a regularly scheduled passenger flight from Chiang Kai-shek International Airport in Taiwan to Hong Kong International Airport in Hong Kong.
642,Korean Air Flight 801,6,August,1997,South Korea,Aviation,Guam,"Crashed on approach to Guam due to pilot error and adverse conditions, 228 fatalities.",254 passengers & crew,Boeing 747-300,Negative,"Korean Air Flight 801 was a scheduled international passenger flight operated by Korean Air, from Gimpo International Airport, Seoul to Antonio B. Won Pat International Airport, Guam. On August 6, 1997, the Boeing 747-300 operating the flight crashed on Bijia Peak, south of Nimitz Hill, in Asan-Maina, Guam, while on approach to the destination airport, killing 229 of the 254 people aboard, making it the deadliest aviation accident to occur in American dependent territory, and the fourth-deadliest aviation accident on American soil overall, excluding terrorism."
643,AirAsia Flight QZ8501,28,December,2014,Indonesia,Aviation,Java Sea,"Crashed into the Java Sea during bad weather, killing all 162 people on board.",162 passengers & crew,Airbus A320-216,Negative,"Indonesia AirAsia Flight 8501 was a scheduled international passenger flight operated by Indonesia AirAsia from Surabaya, Java, Indonesia, to Singapore. On 28 December 2014, the Airbus A320-216 flying the route crashed into the Java Sea, killing all 162 of the people on board. When search operations ended in March 2015, only 116 bodies had been recovered."
644,Pakistan International Airlines Flight 268,28,September,1992,Pakistan,Aviation,Kathmandu,"Crashed into a hillside on approach to Kathmandu, 167 fatalities.",167 passengers & crew,Airbus A300B4-203,Negative,"Pakistan International Airlines Flight 268 was an Airbus A300, registration AP-BCP, which crashed while approaching Kathmandu's Tribhuvan International Airport on 28 September 1992. All 167 people on board were killed. Flight 268 is the worst accident in the history of Pakistan International Airlines, and the worst ever to occur in Nepal."
645,Philippine Airlines Flight 434,11,December,1994,Philippines,Aviation,Okinawa,"A bomb exploded on board, killing one and injuring several; part of a terrorist plot.","1 fatality, several injured",Boeing 747-283B,Negative,"Philippine Airlines Flight 434, sometimes referred to as PAL434 or PR434, was a scheduled flight on December 11, 1994, from Manila to Tokyo with a quick stopover in Cebu on a Boeing 747-283B that was seriously damaged by a bomb, killing one passenger and damaging vital control systems, although the plane was in a repairable state. The bombing was a test run of the unsuccessful Bojinka terrorist attacks. The Boeing 747 was flying the second leg of a route from Mactan–Cebu International Airport in Cebu, Philippines to Narita International Airport, in Tokyo, Japan."
646,SilkAir Flight 185,19,December,1997,Singapore,Aviation,Musi River,"Crashed into the Musi River, all 104 aboard died, cause of the crash was controversial.",104 passengers & crew,Boeing 737-36N,Negative,"SilkAir Flight 185 was a scheduled international passenger flight operated by a Boeing 737-300 from Soekarno–Hatta International Airport in Jakarta, Indonesia to Changi Airport in Singapore that crashed into the Musi River near Palembang, Sumatra, on 19 December 1997, killing all 97 passengers and 7 crew members on board."
647,One-Two-GO Airlines Flight 269,16,September,2007,Thailand,Aviation,Phuket,"Crashed on landing in poor weather conditions at Phuket, 90 fatalities.",130 passengers & crew,McDonnell Douglas MD-82,Negative,"One-Two-Go Airlines Flight 269 (OG269) was a scheduled domestic passenger flight from Bangkok to Phuket, Thailand. On 16 September 2007, about 15:41 ICT, the McDonnell Douglas MD-82 operating the flight crashed into an embankment beside runway 27 at Phuket International Airport (HKT) bursting into flames upon impact during an attempted go-around after an aborted landing, killing 90 of the 130 people on board. It is the third deadliest aviation incident to occur in Thailand."
648,MV Sewol Ferry Sinking,16,April,2014,South Korea,Maritime,Yellow Sea,"Ferry capsized and sank during a voyage to Jeju, over 300 dead, mostly high school students.",476 passengers & crew,MV Sewol,Negative,
649,Fukushima Daiichi Nuclear Disaster,11,March,2011,Japan,Nuclear Accident,Fukushima Prefecture,"Earthquake and tsunami led to nuclear meltdowns, releasing significant amounts of radioactive material.",Residents of Fukushima,Fukushima Daiichi Nuclear Power Plant,Negative,"The Fukushima nuclear accident was a major nuclear accident at the Fukushima Daiichi Nuclear Power Plant in Ōkuma, Fukushima, Japan, which began on 11 March 2011. The cause of the accident was the 2011 Tōhoku earthquake and tsunami, which resulted in electrical grid failure and damaged nearly all of the power plant's backup energy sources. The subsequent inability to sufficiently cool reactors after shutdown compromised containment and resulted in the release of radioactive contaminants into the surrounding environment."
650,Wenzhou Train Collision,23,July,2011,China,Rail,Wenzhou,"High-speed train collision due to signal failure, causing 40 deaths and over 190 injuries.",Passengers,High-speed Trains,Negative,
651,MV Doña Paz Collision,20,December,1987,Philippines,Maritime,Tablas Strait,"Collided with a tanker, resulting in the world's deadliest peacetime maritime disaster with over 4,300 deaths.","Over 4,300 passengers & crew","MV Doña Paz, MT Vector",Negative,
652,Nedelin Catastrophe,24,October,1960,Russia,Spacecraft Accident,Baikonur Cosmodrome,"Explosion during missile test, killing over 100 people, including top missile program personnel.",Military and technical staff,R-16 ballistic missile,Negative,
653,Sidoarjo Mud Flow,29,May,2006,Indonesia,Industrial Accident,Sidoarjo,"Gas exploration drilling mishap causing a mud volcano, displacing thousands and submerging villages.",Thousands displaced,Lapindo Brantas drilling rig,Negative,
654,Tham Luang Cave Rescue,23,June,2018,Thailand,Rescue Operation,Tham Luang Cave,"A youth football team and their coach were trapped in a cave for 18 days, global rescue effort.",12 boys and their coach,"Divers, pumps, and rescue equipment",Positive,
655,Declaration of Independence,4,July,1776,USA,Political,Philadelphia,Marked the USA's declaration of independence from British rule.,American colonies,Continental Congress,Positive,"A declaration of independence is an assertion by a polity in a defined territory that it is independent and constitutes a state. Such places are usually declared from part or all of the territory of another state or failed state, or are breakaway territories from within the larger state. In 2010, the UN's International Court of Justice ruled in an advisory opinion in Kosovo that ""International law contains no prohibition on declarations of independence"", though the state from which the territory wishes to secede may regard the declaration as rebellion, which may lead to a war of independence or a constitutional settlement to resolve the crisis."
656,Louisiana Purchase,30,April,1803,USA,Territorial Acquisition,Midwest,"Doubled the size of the USA, acquiring territory from France.",American settlers,Thomas Jefferson,Positive,"The Louisiana Purchase was the acquisition of the territory of Louisiana by the United States from the French in 1803. This consisted of most of the land in the Mississippi River's drainage basin west of the river. In return for fifteen million dollars, or approximately eighteen dollars per square mile, the United States nominally acquired a total of 828,000 sq mi now in the Central United States."
657,Civil War,12,April,1861,USA,War,Southern USA,"Resolved the issues of slavery and secession, preserving the Union.",American citizens,"Abraham Lincoln, Jefferson Davis",Mixed,"Civil War may refer to:Civil war, a war between organized groups within the same state or country."
658,Women's Suffrage (19th Amendment),18,August,1920,USA,Legislative,Nationwide,Granted women the right to vote.,Women across the USA,Suffragists,Positive,
659,Stock Market Crash of 1929,29,October,1929,USA,Economic,"Wall Street, NY","Led to the Great Depression, impacting global economy.",Global population,-,Negative,"The Wall Street crash of 1929, also known as the Great Crash, was a major stock market crash in the United States which began in October 1929 with a sharp decline in prices on the New York Stock Exchange (NYSE). It triggered a rapid erosion of confidence in the U.S. banking system and marked the beginning of the worldwide Great Depression that lasted until 1939, making it the most devastating crash in the country's history."
660,Moon Landing (Apollo 11),20,July,1969,USA,Space Exploration,Moon,First successful manned mission to the Moon.,Global population,"NASA, Neil Armstrong, Buzz Aldrin",Positive,
661,Civil Rights Act of 1964,2,July,1964,USA,Legislative,Nationwide,"Prohibited discrimination based on race, color, religion, sex, or national origin.",American citizens,Lyndon B. Johnson,Positive,"The Civil Rights Act of 1964 is a landmark civil rights and labor law in the United States that outlaws discrimination based on race, color, religion, sex, and national origin. It prohibits unequal application of voter registration requirements, racial segregation in schools and public accommodations, and employment discrimination. The act ""remains one of the most significant legislative achievements in American history""."
662,September 11 Attacks,11,September,2001,USA,Terrorism,"NY, VA, PA",Led to global War on Terror and significant changes in US policies.,"American citizens, global citizens",Al-Qaeda,Negative,"The September 11 attacks, commonly known as 9/11, were four coordinated Islamist terrorist suicide attacks by al-Qaeda against the United States in 2001. Nineteen terrorists hijacked four commercial airliners, crashing the first two into the Twin Towers of the World Trade Center in New York City and the third into the Pentagon in Arlington County, Virginia. The fourth plane crashed in a rural Pennsylvania field during a passenger revolt."
663,First Mars Helicopter Flight,19,April,2021,USA,Space Exploration,Mars,Ingenuity helicopter made the first powered flight on another planet.,Global population,NASA,Positive,
664,Brown v. Board of Education,17,May,1954,USA,Judicial,"Topeka, Kansas",Landmark Supreme Court ruling that declared segregation in public schools unconstitutional.,African American students,"Supreme Court, Thurgood Marshall",Positive,"Brown v. Board of Education of Topeka, 347 U.S. 483 (1954), was a landmark decision of the United States Supreme Court that ruled that U.S."
665,Vietnam War,             ,-,1955,USA,Military,Vietnam,Controversial conflict that sparked widespread protests and led to significant casualties.,American and Vietnamese,Multiple US Administrations,Negative,"The Vietnam War was an armed conflict in Vietnam, Laos, and Cambodia fought between North Vietnam and South Vietnam and their allies. North Vietnam was supported by the Soviet Union and China, while South Vietnam was supported by the United States and other anti-communist nations. The conflict was the second of the Indochina wars and a proxy war of the Cold War between the Soviet Union and the United States."
666,Watergate Scandal,17,June,1972,USA,Political Scandal,Washington D.C.,Led to the resignation of President Richard Nixon.,American public,"Richard Nixon, Democratic Party",Negative,"The Watergate scandal was a major political scandal in the United States involving the administration of President Richard Nixon. The scandal began in 1972 and ultimately led to Nixon's resignation in 1974. It revolved around members of a group associated with Nixon's 1972 re-election campaign, who broke into the Democratic National Committee headquarters in the Watergate Hotel in the Watergate complex in Washington, D.C., on June 17, 1972, where they planted listening devices, and Nixon's later attempts to conceal his administration's involvement in the burglary."
667,Challenger Space Shuttle Disaster,28,January,1986,USA,Space Exploration Disaster,"Cape Canaveral, FL","Space Shuttle Challenger broke apart shortly after launch, killing all seven crew members.","Astronauts, general public",NASA,Negative,
668,Fall of the Berlin Wall,9,November,1989,USA,International,"Berlin, Germany",Symbolized the end of the Cold War and led to German reunification; significant US involvement.,Global population,"Ronald Reagan, Mikhail Gorbachev",Positive,"The fall of the Berlin Wall on 9 November 1989, during the Peaceful Revolution, marked the beginning of the destruction of the Berlin Wall and the figurative Iron Curtain, as East Berlin transit restrictions were overwhelmed and discarded. Sections of the wall were breached, and planned deconstruction began the following June. It was one of the series of events that started the fall of communism in Central and Eastern Europe."
669,Oklahoma City Bombing,19,April,1995,USA,Domestic Terrorism,"Oklahoma City, OK","Deadliest act of domestic terrorism in the US until 9/11, leading to 168 deaths.",American citizens,"Timothy McVeigh, Terry Nichols",Negative,"The Oklahoma City bombing was a domestic terrorist truck bombing of the Alfred P. Murrah Federal Building in Oklahoma City, United States, on April 19, 1995. The bombing remains the deadliest act of domestic terrorism in U.S."
670,Hurricane Katrina,29,August,2005,USA,Natural Disaster,Gulf Coast,"One of the deadliest hurricanes in US history, causing widespread destruction and loss of life.",Gulf Coast residents,-,Negative,"Hurricane Katrina was a powerful, devastating and historic tropical cyclone that caused 1,392 fatalities and damages estimated at $125 billion in late August 2005, particularly in the city of New Orleans and its surrounding area. It is tied with Hurricane Harvey as being the costliest tropical cyclone in the Atlantic basin. Katrina was the twelfth tropical cyclone, the fifth hurricane, and the third major hurricane of the 2005 Atlantic hurricane season."
